"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the card is visible by locating an element inside it","8151","Check if card is visible","tests","Wed Apr 23 15:29:53 IDT 2025","passed","Wed Apr 23 15:30:01 IDT 2025","TestAll","all","",""
"check if have data for the bars","10259","check bars","tests","Wed Apr 23 15:30:01 IDT 2025","passed","Wed Apr 23 15:30:11 IDT 2025","TestAll","all","",""
"Verify that there is an indicator showing the user how much profit or loss they made","6344","Check if total profit/loss Exist ","tests","Wed Apr 23 15:29:08 IDT 2025","passed","Wed Apr 23 15:29:14 IDT 2025","TestAll","all","",""
"check if balance update after a buy","4611","check if balance update","tests","Wed Apr 23 15:30:17 IDT 2025","passed","Wed Apr 23 15:30:22 IDT 2025","TestAll","all","",""
"Check using a valid symbol from my list in the input field","6657","check input work","tests","Wed Apr 23 15:28:56 IDT 2025","passed","Wed Apr 23 15:29:02 IDT 2025","TestAll","all","",""
"expected url=http://localhost:3000/in/myInfo","3010","check url after buy","tests","Wed Apr 23 15:30:22 IDT 2025","passed","Wed Apr 23 15:30:25 IDT 2025","TestAll","all","",""
"check if read more button send me to the article","6125","news check","tests","Wed Apr 23 15:28:33 IDT 2025","passed","Wed Apr 23 15:28:39 IDT 2025","TestAll","all","",""
"Check if dragging the page to the right navigates to the next page","4539","check drag","tests","Wed Apr 23 15:30:11 IDT 2025","passed","Wed Apr 23 15:30:16 IDT 2025","TestAll","all","",""
"","7656","Check if buy form work ","tests","Wed Apr 23 15:29:14 IDT 2025","passed","Wed Apr 23 15:29:22 IDT 2025","TestAll","all","",""
"Verify that the user is able to perform a sell action","5598","Check if selling is available","tests","Wed Apr 23 15:29:02 IDT 2025","passed","Wed Apr 23 15:29:08 IDT 2025","TestAll","all","",""
"fill unvaild info","3220","fill info","tests","Wed Apr 23 15:28:24 IDT 2025","passed","Wed Apr 23 15:28:27 IDT 2025","TestAll","all","",""
"Check if 'S&P 500' and 'Personal Portfolio' are shown","23068","Text Checking","tests","Wed Apr 23 15:29:25 IDT 2025","passed","Wed Apr 23 15:29:48 IDT 2025","TestAll","all","",""
"Verify that the user cannot buy beyond their balance","8292","check amount","tests","Wed Apr 23 15:28:47 IDT 2025","passed","Wed Apr 23 15:28:56 IDT 2025","TestAll","all","",""
"","1559","check if pop up shown","tests","Wed Apr 23 15:30:16 IDT 2025","passed","Wed Apr 23 15:30:17 IDT 2025","TestAll","all","",""
"should be more then 2 tr.stop loss need to be lower then correct price","8725","check if stop loss work.and have data","tests","Wed Apr 23 15:28:39 IDT 2025","passed","Wed Apr 23 15:28:47 IDT 2025","TestAll","all","",""
"fill vaild info","5179","fill info","tests","Wed Apr 23 15:28:27 IDT 2025","passed","Wed Apr 23 15:28:33 IDT 2025","TestAll","all","",""
"","3186","test_10_demo","tests","Wed Apr 23 15:29:22 IDT 2025","passed","Wed Apr 23 15:29:25 IDT 2025","TestAll","all","",""
"check balance after refresh","2035","check balance","tests","Wed Apr 23 15:30:25 IDT 2025","passed","Wed Apr 23 15:30:27 IDT 2025","TestAll","all","",""
"entering unvalid input to see if error msg seen","4661","wrong input check","tests","Wed Apr 23 15:29:48 IDT 2025","passed","Wed Apr 23 15:29:53 IDT 2025","TestAll","all","",""
"","4060","check logout","tests","Wed Apr 23 15:30:27 IDT 2025","passed","Wed Apr 23 15:30:31 IDT 2025","TestAll","all","",""
